Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Awards,-9999
184,Tyler Johnson,26,LAR,WR,15,2,41,26,291,10,108,4.2,183,7.0,5.6,0,,1,2.4,2,72.3,,JohnTy00
185,Malik Washington,23,MIA,WR,14,3,36,26,223,13,100,3.8,123,4.7,5.4,1,26.0,2,5.6,0,88.1,,WashMa00
186,Brandon Aiyuk,26,SFO,WR,7,7,47,25,374,19,267,10.7,107,4.3,11.9,2,12.5,4,8.5,2,61.8,,AiyuBr00
187,Grant Calcaterra,26,PHI,TE,17,13,30,24,298,15,172,7.2,126,5.3,7.3,0,,0,0.0,0,119.2,,CalcGr00
188,Van Jefferson,28,PIT,WR,17,12,40,24,276,12,198,8.3,78,3.3,11.6,0,,0,0.0,0,97.5,,JeffVa00
189,Jaleel McLaughlin,24,DEN,RB,16,5,27,24,76,3,-91,-3.8,167,7.0,-3.8,1,24.0,0,0.0,0,103.9,,McLaJa00
190,John Metchie,24,HOU,WR,13,3,37,24,254,11,185,7.7,69,2.9,9.0,0,,0,0.0,1,82.5,,MetcJo00
191,Rashee Rice,24,KAN,WR,4,4,29,24,288,15,102,4.3,186,7.8,5.2,4,6.0,1,3.4,1,116.7,,RiceRa01
192,Miles Sanders,27,CAR,RB,11,2,30,24,148,5,-2,-0.1,150,6.3,1.4,1,24.0,0,0.0,1,84.4,,SandMi01
193,Antonio Gibson,26,NWE,RB,17,3,29,23,206,11,-7,-0.3,213,9.3,1.8,3,7.7,1,3.4,2,67.5,,GibsAn00
194,Taysom Hill,34,NOR,TE,8,8,31,23,187,8,50,2.2,137,6.0,3.5,2,11.5,2,6.5,0,89.0,,HillTa00
195,Kareem Hunt,29,KAN,RB,13,8,32,23,176,10,-40,-1.7,216,9.4,-1.9,4,5.8,0,0.0,0,84.9,,HuntKa00
196,Adonai Mitchell,22,IND,WR,17,7,55,23,312,16,211,9.2,101,4.4,14.1,0,,4,7.3,0,60.6,,MitcAd00
197,Zack Moss,27,CIN,RB,8,6,27,23,187,11,-7,-0.3,194,8.4,0.1,3,7.7,1,3.7,0,107.9,,MossZa00
198,Tommy Tremble,24,CAR,TE,12,11,32,23,234,12,109,4.7,125,5.4,5.7,1,23.0,1,3.1,1,100.3,,TremTo00
199,Dawson Knox,28,BUF,TE,16,13,33,22,311,12,217,9.9,94,4.3,8.8,0,,1,3.0,1,94.4,,KnoxDa00
200,Josh Oliver,27,MIN,TE,15,12,28,22,258,14,129,5.9,129,5.9,7.8,0,,2,7.1,0,140.8,,OlivJo00
